Address,Proofs,Coverage%,Current_Earned,Proposed_Earned,Change_AZTEC,Change%
0xA5c7857Bf8C8220403CAf189066CE5bac4462705,4219,95.0,744004.44,1299370.95,555366.51,74.6
0xAe694556Cc3586930Cf85EcB2Aa4156245adC45C,4340,97.7,788182.26,845111.51,56929.25,7.2
0xB08B2c3099193bCF05f742CCB7f206635Fe243B3,4356,98.0,807173.31,837952.24,30778.92,3.8
0x72663EC3F3DCf59bEFF5D20594fd5777E05d9C17,4281,96.4,636833.94,779401.77,142567.83,22.4
0x7de8326Dde6946c38a5632A76C59dA9A28580481,4286,96.5,652075.31,752913.75,100838.44,15.5
0x89B764a2d15281830f4BdfA0aB4453e33767aA6b,3857,86.8,455599.68,745481.26,289881.58,63.6
0x64B9edd67c96C76Bc3f9472c5A9e83547cFD4380,4268,96.1,643062.84,728267.94,85205.1,13.2
0x04aF0335C074cD86B29EC34F3E291acE72F63a4f,3640,81.9,435224.26,706748.82,271524.57,62.4
0x41d209D275027e3DcF5ddC4d0c30cD6c6ECE1ffd,4262,95.9,624794.41,683795.23,59000.81,9.4
0x6572d9DBD1e4a1A1a81760dCC4310269b59950C7,4238,95.4,611844.19,650079.22,38235.04,6.2
0x94FBc31F41Da6a0eb43207c4d96bBcdd2BDcC4Af,3803,85.6,493022.36,644733.98,151711.62,30.8
0x64F2342C5a9456b1A96DBC7B2703400bA9959e33,4207,94.7,693729.74,599962.09,-93767.65,-13.5
0xFa0D24f94bf834153f2Ce95E71CD016aB73cea9C,3850,86.7,449196.84,563714.77,114517.92,25.5
0x89Ea5543484165fB578836920d350EBdaE68889b,3606,81.2,282245.1,429441.89,147196.79,52.2
0x23c15d6840c01E46CC54b3b9ff6BC04625996CfD,3734,84.0,412575.74,399432.48,-13143.25,-3.2
0x49671bf121a5ce25e36932D22dD4Eef013F0f22e,2524,56.8,505701.08,392853.31,-112847.76,-22.3
0x24F3095b832e88B634ab4F7Feb772A965a109548,2663,59.9,389563.14,332209.09,-57354.05,-14.7
0xc325AC957229745f061e10d726DFBdBabF9720Fa,3107,69.9,337691.62,319227.85,-18463.77,-5.5
0x6C45b0a56a451A86F67e65FFB090bCde940933cF,1829,41.2,156663.67,232889.08,76225.41,48.7
0x99fD057aF42C920E7d32020e12fA83DcC1638a89,2362,53.2,271857.57,222972.57,-48885.0,-18.0
0xef68176F87b4ecE1B84C3949cb103Dd791C1F934,1833,41.3,153586.33,217603.61,64017.28,41.7
0x61193d978C9CE5Ba69293dA96A56113BE8DE981c,3551,79.9,389314.66,193424.75,-195889.91,-50.3
0xE9FCe949e03ED55426471DbdB33847A248a83573,3561,80.1,392003.57,192527.68,-199475.89,-50.9
0x0f6d91fBafa15C3F20E72a4Cbf16ed65dd96323D,3564,80.2,391415.46,192198.59,-199216.87,-50.9
0x7FEb8714198293bF2a1600493A2Cf26de84edd3e,2325,52.3,235526.77,177205.74,-58321.03,-24.8
0x1E060fB7847Ab8de0E05E898C16714C9dcC9de6d,3556,80.0,386226.25,164897.64,-221328.61,-57.3
0x7F56302966EF91aFb0D7baDDC92B793efa8Da7d9,3569,80.3,391579.03,158764.07,-232814.95,-59.5
0xBAa764c8E25c4b375B2E5243b7dc30E745f2094a,3564,80.2,383541.84,151065.98,-232475.86,-60.6
